id,name,isbn,authors,numberOfPages,publisher,country,released
1,A Game of Thrones,978-0553103540,George R. R. Martin,694,Bantam Books,United States,1996-08-01T00:00:00
2,A Clash of Kings,978-0553108033,George R. R. Martin,768,Bantam Books,United States,1999-02-02T00:00:00
3,A Storm of Swords,978-0553106633,George R. R. Martin,992,Bantam Books,United States,2000-10-31T00:00:00
4,The Hedge Knight,978-0976401100,George R. R. Martin,164,Dabel Brothers Publishing,United States,2005-03-09T00:00:00
5,A Feast for Crows,978-0553801507,George R. R. Martin,784,Bantam Books,United States,2005-11-08T00:00:00
6,The Sworn Sword,978-0785126508,George R. R. Martin,152,Marvel,United States,2008-06-18T00:00:00
7,The Mystery Knight,978-0765360267,George R. R. Martin,416,Tor Fantasy,United States,2011-03-29T00:00:00
8,A Dance with Dragons,978-0553801477,George R. R. Martin,1040,Bantam Books,United States,2011-07-12T00:00:00
9,The Princess and the Queen,978-0765332066,George R. R. Martin,784,Tor Books,United States,2013-12-03T00:00:00
10,The Rogue Prince,978-0345537263,George R. R. Martin,832,Bantam Books,United States,2014-06-17T00:00:00
11,The World of Ice and Fire,978-0553805444,"Elio Garcia, Linda Antonsson, George R. R. Martin",336,Bantam Books,United States,2014-10-28T00:00:00
12,A Knight of the Seven Kingdoms,978-0345533487,George R. R. Martin,368,Bantam Books,United States,2015-10-06T00:00:00
