character_id,book_id
1,5
2,1
2,2
2,3
2,5
2,8
3,3
4,5
4,8
5,5
6,5
7,3
8,6
9,5
10,5
11,5
11,8
12,1
12,2
12,3
12,5
12,8
13,1
13,2
13,3
14,5
15,5
15,8
16,1
16,2
16,3
16,5
16,8
17,5
18,5
19,5
19,8
20,1
20,2
20,3
21,3
21,5
21,8
22,5
22,8
23,2
24,5
24,8
25,5
25,8
26,5
26,8
27,1
27,2
27,3
27,5
27,8
27,11
28,5
28,8
29,4
30,7
31,1
31,2
31,3
31,5
31,8
32,6
33,9
33,11
34,5
34,11
35,3
35,6
35,7
36,2
36,3
36,5
37,2
37,3
37,5
37,8
38,1
38,2
38,3
38,4
38,5
38,6
38,7
38,8
38,9
38,11
39,1
39,3
39,5
39,9
39,10
39,11
40,1
40,3
40,4
40,9
40,10
40,11
41,1
41,3
41,4
41,7
41,11
42,1
42,2
42,3
42,5
42,8
42,11
43,11
44,11
45,11
46,1
46,2
46,3
46,4
46,5
46,6
46,7
46,8
46,11
47,5
47,6
47,7
47,8
47,11
48,6
48,11
49,9
49,10
49,11
50,3
50,6
50,7
51,3
52,2
52,3
52,5
52,8
53,2
53,3
53,5
54,1
54,2
54,3
54,4
54,5
54,6
54,7
54,8
55,8
55,9
55,10
55,11
56,1
56,2
56,3
56,5
56,8
57,1
57,11
58,2
58,3
58,4
58,6
58,7
58,8
58,11
59,11
60,1
60,2
60,3
60,8
61,1
61,4
61,6
61,7
61,11
62,1
62,2
62,3
62,5
62,8
62,11
63,5
63,8
64,2
64,3
65,11
66,1
66,2
66,5
66,8
67,1
67,2
67,3
67,5
67,8
68,2
68,3
68,5
69,1
69,2
69,3
69,5
69,8
70,2
70,3
70,5
71,2
71,3
71,5
72,2
72,3
72,8
73,2
73,3
73,5
74,5
75,11
76,9
76,10
76,11
77,3
77,5
77,8
78,2
78,3
79,1
79,2
79,3
79,5
79,8
80,3
81,3
81,5
81,8
82,2
82,3
82,5
82,8
83,7
83,11
84,3
84,5
85,2
85,3
85,5
85,8
86,2
86,3
86,5
87,2
87,3
87,5
88,5
89,1
89,2
89,3
89,5
89,8
90,11
91,5
91,8
91,9
91,11
92,5
93,11
94,3
94,5
95,2
95,3
95,5
96,3
96,5
96,8
97,11
98,11
99,5
99,8
100,3
100,5
100,8
101,11
102,5
103,5
103,8
104,6
105,3
105,10
105,11
106,5
107,1
108,2
108,3
108,5
108,8
109,11
110,11
111,2
111,3
111,5
112,2
112,3
112,5
112,8
113,6
113,7
114,2
114,3
114,5
115,1
115,2
115,3
115,5
115,8
116,1
116,2
116,3
116,5
116,8
117,3
117,5
117,8
118,2
118,3
118,5
118,8
119,2
120,1
120,3
121,4
122,2
122,3
122,5
123,2
123,3
123,5
123,8
124,2
124,3
124,5
124,8
125,1
125,2
125,3
125,5
125,8
126,8
127,2
127,3
128,1
128,11
129,1
129,11
130,1
130,2
130,3
130,8
131,5
132,4
132,6
132,7
133,7
134,5
134,8
135,1
135,2
135,5
136,11
137,1
137,11
138,3
138,5
139,8
140,8
141,3
141,5
141,8
142,1
142,2
142,3
142,5
142,8
142,11
143,2
143,8
143,11
144,11
145,2
145,3
145,5
146,2
146,3
146,5
146,8
147,1
147,2
147,3
147,5
147,8
149,1
149,2
149,3
149,8
150,1
150,2
151,1
151,2
151,3
151,8
152,6
153,2
153,3
153,5
153,8
154,9
154,10
154,11
155,11
156,10
157,9
157,10
157,11
158,2
158,3
158,5
159,3
159,5
160,1
160,3
160,5
160,6
160,8
160,11
161,3
161,4
161,6
161,7
161,11
162,3
162,5
162,8
163,5
164,1
164,2
164,3
164,5
164,8
165,8
165,11
166,5
166,8
167,2
168,1
168,2
168,3
168,5
168,11
169,3
169,5
169,8
169,10
169,11
