id,name,gender,culture,born,died,titles,aliases
1,The Daughter of the Dusk,Female,Braavosi,,,,The Daughter of the Dusk
2,Walder,Male,,,,,Hodor
3,Lamprey,Male,,,,,Lamprey
4,The Merling Queen,Female,Braavosi,,,,The Merling Queen
5,Old Crackbones,Male,,,,,Old Crackbones
6,The Poetess,Female,Braavosi,,,,The Poetess
7,Porridge,Female,,,,,Porridge
8,Quickfinger,Male,,,,,Quickfinger
9,the Sailor's Wife,Female,,,,,the Sailor's Wife
10,The Veiled Lady,Female,Braavosi,,,,The Veiled Lady
11,The waif,Female,Braavosi,In 263 AC or 264 AC,,,The waif
12,Balon Greyjoy,Male,,,"299 AC, at Pyke","Iron King, King of the Isles and the North, King of Salt and Rock, Son of the Sea Wind, Lord Reaper of Pyke, The Greyjoy, Captain of the Great Kraken","Balon the Brave, Balon the Blessed, Balon the Twice Crowned, Balon the Widowmaker, The Kraken King"
13,Chayle,Male,,,"In 299 AC, at Winterfell",Septon,
14,Gillam,Male,,,,Brother,
15,High Septon,Male,,,,"High Septon, His High Holiness, Father of the Faithful, Voice of the Seven on Earth",The High Sparrow
16,Margaery Tyrell,Female,Westeros,"In 283 AC, at Highgarden",,Queen of the Seven Kingdoms,"The Little Queen, The Little Rose, Maid Margaery"
17,Melicent,Female,,,,Septa,
18,Meribald,Male,,"In 247 AC or 248 AC, at the riverlands",,Septon,
19,Moelle,Female,,,,Septa,
20,Mordane,Female,,,"In 298 AC, at King's Landing",Septa,
21,Nysterica,Female,,,,Septa,
22,Ollidor,Male,,,,Septon,
23,Osmynd,Male,,,,Septon,
24,Raynard,Male,,,,Septon,
25,Scolera,Female,,,,Septa,
26,Torbert,Male,,,,Septon,
27,Tywin Lannister,Male,,In 242 AC,"In 300 AC, at King's Landing","Lord of Casterly Rock, Shield of Lannisport, Warden of the West, Hand of the King, Savior of the City (of King's Landing)","The Lion of Lannister, The Old Lion, The Great Lion of the Rock"
28,Unella,Female,,,,Septa,
29,Abelar Hightower,Male,,,,Ser,
30,Addam Frey,Male,,,,Ser,
31,Addam Marbrand,Male,,,,"Ser, Commander of the City Watch",
32,Addam Osgrey,Male,,In 183 AC or 184 AC,"In 196 AC, at Redgrass Field",,
33,Addam Velaryon,Male,Valyrian,"In 114 AC, at Hull","In 130 AC, at Tumbleton",Ser,Addam of Hull
34,Addison Hill,Male,,At Cornfield,,"Ser, Lord Commander of the Kingsguard",The Bastard of Cornfield
35,Aegon Blackfyre,Male,Valyrian,In 184 AC,"In 196 AC, at Redgrass Field",,
36,Aegon Frey,Male,,In 249 AC (roughly),"In 299 AC, at the Twins",,Jinglebell
37,Aegon Frey,Male,,In or between 253 AC and 272 AC,,,Aegon Bloodborn
38,Aegon I,Male,,"27 BC, at Dragonstone","37 AC, at Dragonstone","King of All Westeros, Shield of His People, King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm, Lord of Dragonstone","Aegon the Conqueror, Aegon the Dragon, Aegon the Dragonlord"
39,Aegon II,Male,,"107 AC, at King's Landing","131 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","Aegon the Elder, Aegon the Usurper"
40,Aegon III,Male,Valyrian,"120 AC, at Dragonstone","157 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","Aegon the Younger, Aegon the Dragonbane, Aegon the Unlucky, The Broken King"
41,Aegon IV,Male,,"135 AC, at King's Landing","184 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm",Aegon the Unworthy
42,Aegon Targaryen,Male,Valyrian,"In 281 AC or 282 AC, at Dragonstone","In 283 AC (Supposedly), at King's Landing",,Young Griff
43,Aegon Targaryen,Male,Valyrian,In 26 AC,"In 43 AC, at Gods Eye",Prince,
44,Aegon Targaryen,Male,Valyrian,,,Prince,
45,Aegon Targaryen,Male,Valyrian,In or between 50 AC and 59 AC,,Prince,
46,Aegon V,Male,,"200 AC, at King's Landing","259 AC, at Summerhall","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","Aegon the Unlikely, Aegon the Fortunate, The Prince Who Was An Eggg"
47,Aegor Rivers,Male,,In 172 AC,"In 241 AC, at the Disputed Lands",Ser,Bittersteel
48,Aelinor Penrose,Female,Valyrian,,,Queen,
49,Aemma Arryn,Female,,In 82 AC,In 105 AC,Queen,
50,Aemon Blackfyre,Male,Valyrian,In 184 AC,"In 196 AC, at Redgrass Field",,
51,Aemon Costayne,Male,,,,,
52,Aemon Estermont,Male,Stormlands,,,Ser,
53,Aemon Rivers,Male,,,,Ser,
54,Aemon Targaryen,Male,Valyrian,"In 198 AC, at King's Landing","In 300 AC, at the Cinnamon Wind, off the coast of Dorne, at the Summer Sea",Maester,"Aemon Targaryen, Maester Aemon, Uncle Maester"
55,Aemond Targaryen,Male,Valyrian,In 110 AC,"In 130 AC, at the Gods Eye","Prince, Protector of the Realm, Prince Regent","Aemond One-Eye, Aemond the Kinslayer"
56,Aenys Frey,Male,,In or between 240 AC and 247 AC,"In 300 AC, at Near Winterfell",Ser,
57,Aenys I,Male,,"7 AC, at Dragonstone","42 AC, at Dragonstone","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm",
58,Aerion Targaryen,Male,Valyrian,In or between 191 AC and 194 AC,In 232 AC,Prince,"Brightflame, Aerion the Monstrous, The Bright Prince, The Prince Who Thought He Was a Dragon"
59,Aerion Targaryen,Male,Valyrian,At Dragonstone,At Dragonstone,Lord of Dragonstone,
60,Aeron Greyjoy,Male,Ironborn,"In or between 269 AC and 273 AC, at Pyke",,"Priest of the Drowned God, Captain of the Golden Storm (formerly)","The Damphair, Aeron Damphair"
61,Aerys I,Male,,"or between 172 AC and 176 AC, at King's Landing",221 AC,"King of the Andals, the Rhoynar, and the First Men, Lord of the Seven Kingdoms, Protector of the Realm",
62,Aerys II,Male,,"244 AC, at King's Landing","283 AC, at the Red Keep in King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","The Mad King, King Scab"
63,Aglantine,Female,,,,Septa,
64,Aladale Wynch,Male,Ironborn,,"In 300 AC, at Bridge of Skulls",Ser,
65,Alan,Male,,In Age of Heroes,,,"Alan o' the Oak, The Blind Bowman"
66,Alannys Harlaw,Female,Ironborn,,,Queen of the Iron Islands,Lanny
67,Albar Royce,Male,,,,Ser,
68,Alekyne Florent,Male,,,,Lord of Brightwater (attainted),
69,Alerie Hightower,Female,,"In or between 257 AC and 263 AC, at Oldtown",,Lady of Highgarden,
70,Alesander Frey,Male,,In or between 265 AC and 281 AC,,,
71,Alesander Staedmon,Male,,,,Lord of Broad Arch,the Pennylover
